======================================================================
AVAILABLE IN BOTH FILES (529 items)
======================================================================
Master Name                         Points
------------------------------------------
Basculegion-M                           17
Ferrothorn                              17
Tapu Koko                               17
Thundurus-Incarnate                     17
Tornadus-Incarnate                      17
Basculegion-F                           16
Excadrill                               16
Grimmsnarl                              16
Kommo-o                                 16
Terrakion                               16
Ursaluna                                16
Galarian Darmanitan                     15
Rillaboom                               15
Rotom-Wash                              15
Sylveon                                 15
Tapu Fini                               15
Azumarill                               14
Corviknight                             14
Empoleon                                14
Hisuian Arcanine                        14
Hisuian Samurott                        14
Hydreigon                               14
Kleavor                                 14
Mamoswine                               14
Regieleki                               14
Conkeldurr                              13
Gastrodon                               13
Gothitelle                              13
Hawlucha                                13
Mandibuzz                               13
Milotic                                 13
Quagsire                                13
Raikou                                  13
Reuniclus                               13
Silvally                                13
Tangrowth                               13
Weavile                                 13
Alolan Ninetales                        12
Arcanine                                12
Barraskewda                             12
Dracozolt                               12
Galarian Articuno                       12
Galarian Moltres                        12
Haxorus                                 12
Hippowdon                               12
Hisuian Lilligant                       12
Shaymin                                 12
Torterra                                12
Zapdos                                  12
Cobalion                                11
Crawdaunt                               11
Darmanitan                              11
Diggersby                               11
Dugtrio                                 11
Goodra                                  11
Hatterene                               11
Overqwil                                11
Ribombee                                11
Roserade                                11
Salazzle                                11
Staraptor                               11
Blissey                                 10
Cloyster                                10
Magnezone                               10
Mesprit                                 10
Noivern                                 10
Obstagoon                               10
Polteageist                             10
Porygon-Z                               10
Regidrago                               10
Torkoal                                 10
Ambipom                                  9
Arctozolt                                9
Articuno                                 9
Barbaracle                               9
Bronzong                                 9
Crustle                                  9
Duraludon                                9
Galarian Weezing                         9
Gallade                                  9
Hisuian Braviary                         9
Lucario                                  9
Ninetales                                9
Pyukumuku                                9
Registeel                                9
Sigilyph                                 9
Slurpuff                                 9
Toxtricity                               9
Uxie                                     9
Araquanid                                8
Cofagrigus                               8
Galvantula                               8
Heracross                                8
Hisuian Decidueye                        8
Hitmonlee                                8
Jellicent                                8
Murkrow                                  8
Regice                                   8
Scrafty                                  8
Trevenant                                8
Virizion                                 8
Arctovish                                7
Basculin                                 7
Doublade                                 7
Drapion                                  7
Drednaw                                  7
Eiscue                                   7
Frosmoth                                 7
Golisopod                                7
Golurk                                   7
Heliolisk                                7
Hisuian Electrode                        7
Lapras                                   7
Linoone                                  7
Machamp                                  7
Mudsdale                                 7
Ninjask                                  7
Rhyperior                                7
Rotom-Frost                              7
Sandaconda                               7
Scyther                                  7
Seismitoad                               7
Swoobat                                  7
Type: Null                               7
Bewear                                   6
Coalossal                                6
Crobat                                   6
Dhelmise                                 6
Escavalier                               6
Ferroseed                                6
Floatzel                                 6
Golbat                                   6
Gurdurr                                  6
Honchkrow                                6
Inteleon                                 6
Lanturn                                  6
Magmortar                                6
Magneton                                 6
Mantine                                  6
Medicham                                 6
Mismagius                                6
Pangoro                                  6
Piloswine                                6
Qwilfish                                 6
Rotom-Fan                                6
Runerigus                                6
Sirfetch'd                               6
Spiritomb                                6
Ursaring                                 6
Vanilluxe                                6
Vikavolt                                 6
Weezing                                  6
Yanmega                                  6
Alcremie                                 5
Alolan Persian                           5
Alolan Raichu                            5
Appletun                                 5
Aromatisse                               5
Braviary                                 5
Centiskorch                              5
Drampa                                   5
Drifblim                                 5
Dubwool                                  5
Dusknoir                                 5
Electivire                               5
Flapple                                  5
Galarian Rapidash                        5
Glaceon                                  5
Gourgeist                                5
Hisuian Qwilfish                         5
Hisuian Sliggoo                          5
Hitmonchan                               5
Klinklang                                5
Liepard                                  5
Ludicolo                                 5
Meowstic                                 5
Orbeetle                                 5
Passimian                                5
Perrserker                               5
Rampardos                                5
Rhydon                                   5
Rotom                                    5
Shuckle                                  5
Steelix                                  5
Stunfisk                                 5
Toxicroak                                5
Vileplume                                5
Wyrdeer                                  5
Xatu                                     5
Accelgor                                 4
Alolan Vulpix                            4
Avalugg                                  4
Claydol                                  4
Clefairy                                 4
Cottonee                                 4
Durant                                   4
Eldegoss                                 4
Falinks                                  4
Flareon                                  4
Galarian Stunfisk                        4
Garbodor                                 4
Golduck                                  4
Hisuian Sneasel                          4
Indeedee                                 4
Leafeon                                  4
Lickilicky                               4
Luxray                                   4
Magnemite                                4
Mawile                                   4
Morgrem                                  4
Morpeko                                  4
Mr. Rime                                 4
Musharna                                 4
Pincurchin                               4
Prinplup                                 4
Probopass                                4
Raichu                                   4
Rapidash                                 4
Regigigas                                4
Roselia                                  4
Sawk                                     4
Shiftry                                  4
Skuntank                                 4
Sneasel                                  4
Tangela                                  4
Thwackey                                 4
Togetic                                  4
Tropius                                  4
Turtonator                               4
Vulpix                                   4
Walrein                                  4
Wobbuffet                                4
Abomasnow                                3
Alolan Dugtrio                           3
Altaria                                  3
Beheeyem                                 3
Bibarel                                  3
Boltund                                  3
Carkol                                   3
Charjabug                                3
Diglett                                  3
Electabuzz                               3
Haunter                                  3
Houndoom                                 3
Kingler                                  3
Magmar                                   3
Manectric                                3
Monferno                                 3
Mr. Mime                                 3
Pachirisu                                3
Palpitoad                                3
Pikachu                                  3
Purugly                                  3
Shiinotic                                3
Starly                                   3
Thievul                                  3
Throh                                    3
Togedemaru                               3
Wailord                                  3
Absol                                    2
Bastiodon                                2
Beautifly                                2
Bellossom                                2
Boldore                                  2
Charmeleon                               2
Chimecho                                 2
